strain	previous_names	isotype
ECA1230	S-08915	ECA1229
ECA1231	S-08921	ECA1229
ECA1233	S-08936	ECA1229
ECA1241	S-09074	ECA1229
ECA1232	S-08925	ECA1232
ECA1197	S-08255	ECA1237
ECA1198	S-08256	ECA1237
ECA1234	S-09041	ECA1237
ECA1235	S-09042	ECA1237
ECA1236	S-09043	ECA1237
ECA1237	S-09045	ECA1237
ECA1199	S-08288	ECA1238
ECA1238	S-09058	ECA1238
ECA1239	S-09060	ECA1238
ECA1240	S-09066	ECA1240
ECA1242	S-09080	ECA1242
ECA1243	S-09162	ECA1243
ECA2803	NA	ECA1243
ECA1246	S-09286	ECA1247
ECA1247	S-09287	ECA1247
ECA1272	S-09468	ECA1247
ECA1274	S-09479	ECA1247
ECA1250	S-09338	ECA1251
ECA1251	S-09346	ECA1251
ECA1252	S-09347	ECA1252
ECA1253	S-09349	ECA1253
ECA1249	S-09335	ECA1255
ECA1255	S-09370	ECA1255
ECA1256	S-09374	ECA1255
ECA1254	S-09369	ECA1257
ECA1257	S-09375	ECA1257
ECA1258	S-09376	ECA1257
ECA1259	S-09386	ECA1260
ECA1260	S-09387	ECA1260
ECA1261	S-09410	ECA1261
ECA1267	S-09441	ECA1269
ECA1268	S-09442	ECA1269
ECA1269	S-09445	ECA1269
ECA1270	S-09448	ECA1271
ECA1271	S-09453	ECA1271
ECA1276	S-09545	ECA1276
ECA1277	S-09547	ECA1276
ECA3041	S-14927	ECA1276
ECA3604	S-15711	ECA1276
ECA1278	S-09600	ECA1278
ECA3603	S-15702	ECA1278
ECA1262	S-09417	ECA1281
ECA1263	S-09418	ECA1281
ECA1264	S-09419	ECA1281
ECA1273	S-09469	ECA1281
ECA1275	S-09480	ECA1281
ECA1279	S-09625	ECA1281
ECA1281	S-09654	ECA1281
ECA1282	S-09664	ECA1281
ECA1779	S-12163	ECA1281
ECA1781	S-12161	ECA1281
ECA1783	NA	ECA1281
ECA1975	S-12051	ECA1281
ECA1987	S-12055	ECA1281
ECA1989	S-12090	ECA1281
ECA1991	S-12089	ECA1281
ECA1993	S-12088	ECA1281
ECA2429	S-12285	ECA1281
ECA2431	S-12286	ECA1281
ECA2433	S-12287	ECA1281
ECA2435	S-12288	ECA1281
ECA2439	S-12297	ECA1281
ECA1283	S-09674	ECA1283
ECA1284	S-09713	ECA1284
ECA1285	S-09715	ECA1284
ECA1286	S-09763	ECA1286
ECA1290	S-09826	ECA1286
ECA3536	S-15369	ECA1286
ECA3570	S-15574	ECA1286
ECA1287	S-09789	ECA1287
ECA1265	S-09426	ECA1288
ECA1266	S-09432	ECA1288
ECA1288	S-09811	ECA1288
ECA2901	S-14702	ECA1288
ECA2902	S-14703	ECA1288
ECA2903	S-14704	ECA1288
ECA2904	S-14727	ECA1288
ECA2905	S-14728	ECA1288
ECA2906	S-14741	ECA1288
ECA2908	S-14755	ECA1288
ECA2917	S-14738	ECA1288
ECA3533	S-15353	ECA1288
ECA1289	S-09817	ECA1289
ECA3037	S-14917	ECA1289
ECA3062	S-14974	ECA1289
ECA3063	S-14976	ECA1289
ECA3068	S-14984	ECA1289
ECA3069	S-14988	ECA1289
ECA1293	S-09953	ECA1293
