strain	previous_names	isotype
NIC953	907	NIC953
NIC955	930	NIC955
NIC956	987.2	NIC956
NIC957	993.1	NIC957
NIC958	41c	NIC958
NIC959	52b1	NIC959
NIC960	63b1-2	NIC945
NIC961	888a	NIC961
NIC962	896 (896.2)	NIC962
NIC964	887b2-1	NIC964
NIC965	887b2-2	NIC965
NIC967	873.2	NIC942
NIC969	993.2	NIC958
NIC970	63b1-1	NIC970
NIC972	887b1	NIC972
NIC975	19a1	NIC975
NIC976	19a2	NIC975
NIC977	19b1	NIC975
NIC980	20b	NIC980
NIC983	21a	NIC983
NIC986	35c1	NIC986
NIC987	35c2	NIC987
NIC988	35c3	NIC987
NIC989	36b (36b1)	NIC989
NIC99	H6F4.1	NIC99
NIC993	940c	NIC993
NIC994	942c	NIC994
NIC999	994a	NIC999
QG1000	AP_7_10	QG1000
QG1004	APTK_23_3	QG1004
QG131	NA	QG131
QG2651	NA	NA
QG2697	NA	QG2726
QG2699	NA	QG2726
QG2716	NA	QG2716
QG2720	NA	QG2716
QG2724	NA	QG2724
QG2725	NA	QG2724
QG2726	NA	QG2726
QG2727	NA	QG2726
QG2733	NA	QG2726
QG2747	NA	QG2770
QG2748	NA	QG2770
QG2749	NA	QG2770
QG2755	NA	QG2726
QG2770	NA	QG2770
QG2771	NA	QG2770
QG2772	NA	QG2770
QG2773	NA	QG2770
QG2896	NA	QG2896
QG2897	NA	QG2897
QG2898	NA	QG2898
QG2899	NA	QG2899
QG2904	NA	QG2904
QG2905	NA	QG2905
QG2965	NA	NA
QG3007	NA	NA
QG3008	NA	QG3008
QG3009	NA	QG3009
QG3010	NA	QG3010
QG3011	NA	QG3011
QG3013	NA	QG3013
QG3020	NA	NA
QG3024	NA	QG3024
QG3028	NA	NA
QG3029	NA	NA
QG3035	NA	NA
QG3036	NA	QG3037
QG3037	NA	QG3037
QG3038	NA	QG3038
QG3040	NA	NA
QG3042	NA	NIC58
QG3055	NA	QG3055
QG3064	NA	QG3064
QG3514	NA	QG3514
QG3520	NA	QG3526
QG3521	NA	QG3521
QG3522	NA	QG3522
QG3523	NA	NA
QG3526	NA	QG3526
QG3529	NA	QG3529
QG3533	NA	QG3533
QG3535	NA	QG3839
QG3538	NA	NA
QG3539	NA	QG3539
QG3543	NA	QG3543
QG3545	NA	QG3545
