strain	abamectin_mean.EXT	abamectin_mean.norm.EXT	abamectin_mean.TOF	abamectin_norm.n
JU2001	NA	NA	NA	NA
JU2007	26.64141649537305	-0.023779546226493795	23.11469515594574	-3.4903459007015827
JU2016	39.94448052836046	0.06422995383586144	-0.43605049744021457	0.44133016742190123
JU2017	69.46324911674735	0.22558026584644636	10.122596505331966	-3.4543980790645348
JU2106	-199.25177098458818	-0.5265057339441355	-53.39562763760544	-13.108253388697445
JU2131	-48.49289140995192	-0.3008905883080807	-8.667966760055046	-0.1384868737914865
JU2141	3.238908512862375	-0.05644999723131086	13.9276928132736	-2.3323875738607365
JU2234	-83.84297512202944	-0.07533814715344848	-45.896992505722224	-4.81577526825316
JU2250	-114.15105253398656	-0.16301895795641155	-39.95917438047814	-8.342109686086978
JU2257	-5.758126266630339	0.02436201626532298	-0.9253251474089077	-6.986021278458175
JU2464	-141.85931593007805	-0.38040513683044275	-35.13141295105651	-6.3438548971742685
JU2466	12.187062647263616	0.14854616076444846	-2.104959938292204	4.824525697814486
JU2478	NA	NA	NA	NA
JU2513	-32.473119728185694	0.016795103438443443	-10.211702020974684	-3.009642784494463
JU2522	16.311894409375114	0.05506907116647666	-2.3089735960331033	13.581108966573062
JU2526	-100.7552573795552	-0.41406973389754187	-14.491846975042582	12.329309828813216
JU2534	-49.80094314415572	-0.04995157032345428	-12.554262741709689	-7.92251603704125
JU2565	-57.284919027340266	0.02734387341835829	-23.03916170026264	-2.0516120875465385
JU2566	-95.40481126067166	-0.1372507466470101	-37.453097529492965	-5.1994655013171975
JU2570	-29.185618360027956	-0.10305819118254289	-0.03526430301716976	-2.4350450622323327
JU2572	-31.3369706543674	0.008239407257358585	-12.620241648398146	-6.383403506553486
JU2575	-83.43142331685173	-0.1509158202839198	-32.927290224511445	-6.711691720445733
JU2576	-83.79481696607583	-0.10291201992578364	-34.09957068134664	-3.5336275146443903
JU2578	75.64435120262775	0.09937566128926115	24.344350397568554	6.3205884170699616
JU258	-69.80605903434248	-0.17947779371378264	-19.845095007809263	1.2459839882211565
JU2581	-112.54110362679316	-0.27818329098243905	-31.873181378473078	-8.645312066084095
JU2586	113.19324870559544	0.11655296330369261	37.9055816177216	15.465675692582153
JU2587	-43.59696516773427	-0.09719284827920995	-17.29578436120446	-2.173197833366147
JU2592	-27.242686906501554	-0.28343451221560706	13.84877540262907	-5.970366879169515
JU2593	-29.88512267620139	-0.02945937806633507	-11.241135429010585	-3.306745606922394
JU2600	3.2594571112474497	-0.04337092030191102	7.048831247763214	1.9587918713091934
JU2610	-28.27129344043562	-7.320310880008351e-4	2.952238565307754	1.4395125543030747
JU2619	97.57881311218549	0.14559678768995354	30.37246638891721	16.296835108908944
JU2800	-41.12746342387394	-0.11610301268982	-10.529038289053295	4.702932019327588
JU2811	141.81380823866448	0.23834714016724962	38.41856333150509	6.797561987751989
JU2825	25.32281069500247	0.008187333183483973	13.267172863559294	-2.8623507192135245
JU2829	-65.20432898493806	-0.2791459185321622	-14.959380129184355	-2.157306115822121
JU2838	-76.93009616701565	-0.10642354970403327	-32.164878564173875	0.8895813831334348
JU2841	22.510050108700987	0.07833911764233932	5.733813547074772	-1.4664233519663508
JU2853	10.274492572135232	0.11466503829135676	-2.8728094009045133	-3.323687008073635
JU2862	30.736384519694965	0.12761945094811367	-3.1407363585143293	-7.972774320355427
JU2866	-0.19030614333208865	0.19860432908408876	-9.277203926075702	0.38722776399631265
JU2878	192.01515924297132	0.23819432017154296	50.44074138617534	0.20572685280894687
